Unidade;Disciplina;Código da disciplina;Turma;Quantidade de alunos;Dia da semana;Horário de início;Horário de término;Data de início;Data de término
ECI;FUNDAMENTOS DA CIÊNCIA DA INFORMAÇÃO;-;-;46;Quinta;07:30;11:10;1/07/2016;11/07/2016
ECI;FUNDAMENTOS DA MUSEOLOGIA;-;-;30;Quarta;07:30;11:10;1/07/2016;11/07/2016
FAFICH;FUNDAMENTOS DE ANÁLISE SOCIOLÓGICA;-;-;63;Quarta;13:30;17:10;1/07/2016;11/07/2016
FAFICH;FUNDAMENTOS DE ANÁLISE SOCIOLÓGICA;-;D;63;Quarta;07:30;09:10;1/07/2016;11/07/2016
FAFICH;FUNDAMENTOS DE ANÁLISE SOCIOLÓGICA;-;D;63;Segunda;07:30;09:10;1/07/2016;11/07/2016
FAFICH;FUNDAMENTOS DE ANÁLISE SOCIOLÓGICA;-;G;63;Quarta;07:30;09:10;1/07/2016;11/07/2016
FAFICH;FUNDAMENTOS DE ANÁLISE SOCIOLÓGICA;-;G;63;Segunda;07:30;09:10;1/07/2016;11/07/2016
FAFICH;FUNDAMENTOS DE ANÁLISE SOCIOLÓGICA;-;P;63;Quarta;20:50;22:30;1/07/2016;11/07/2016
FAFICH;FUNDAMENTOS DE ANÁLISE SOCIOLÓGICA;-;R;63;Segunda;20:50;22:30;1/07/2016;11/07/2016
FAFICH;FUNDAMENTOS DE ANÁLISE SOCIOLÓGICA;SOA048;O;63;Quarta;20:50;22:30;1/07/2016;11/07/2016
FAFICH;FUNDAMENTOS DE ANÁLISE SOCIOLÓGICA;SOA048;O;63;Segunda;20:50;22:30;1/07/2016;11/07/2016
ENG;FUNDAMENTOS DE ENGENHARIA BIOMÉDICA;-;-;42;Quinta;09:25;11:05;1/07/2016;11/07/2016
ENG;FUNDAMENTOS DE ENGENHARIA BIOMÉDICA;-;-;42;Terca;09:25;11:05;1/07/2016;11/07/2016
ENG;FUNDAMENTOS DE ENGENHARIA NUCLEAR;-;-;42;Quarta;09:25;12:00;1/07/2016;11/07/2016
FALE;FUNDAMENTOS DE LINGUÍSTICA COMPARADA;-;-;50;Quinta;07:30;09:10;1/07/2016;11/07/2016
FALE;FUNDAMENTOS DE LINGUÍSTICA COMPARADA;-;-;50;Quinta;09:20;11:00;1/07/2016;11/07/2016
FALE;FUNDAMENTOS DE LINGUÍSTICA COMPARADA;-;-;50;Quinta;19:00;20:40;1/07/2016;11/07/2016
FALE;FUNDAMENTOS DE LINGUÍSTICA COMPARADA;-;-;50;Quinta;19:00;20:40;1/07/2016;11/07/2016
FALE;FUNDAMENTOS DE LINGUÍSTICA COMPARADA;-;-;50;Quinta;20:50;22:30;1/07/2016;11/07/2016
FALE;FUNDAMENTOS DE LINGUÍSTICA COMPARADA;-;-;50;Terca;07:30;09:10;1/07/2016;11/07/2016
FALE;FUNDAMENTOS DE LINGUÍSTICA COMPARADA;-;-;50;Terca;09:20;11:00;1/07/2016;11/07/2016
FALE;FUNDAMENTOS DE LINGUÍSTICA COMPARADA;-;-;50;Terca;19:00;20:40;1/07/2016;11/07/2016
